test_id,actor_role,actor_fixture,resource,action,target_fixture,target_user,target_cohort,target_unit,target_state,expected,policy_or_function,automated_test,notes
RLS-T04-ANON-DENY,anon,anonymous_session,public.academic_levels,READ,synthetic_resource_row,SELF_OR_POLICY_SCOPE,AUTHORIZED_OR_OTHER,AUTHORIZED_OR_OTHER,ACTIVE_OR_BOUNDARY,DENY,anon has no table grants,supabase/tests/17_actor_action_resource_matrix.sql#RLS-T04-ANON-DENY,Direct database decision; role labels never come from user metadata
RLS-T04-ANON-DENY,anon,anonymous_session,public.academic_levels,CREATE,synthetic_resource_row,SELF_OR_POLICY_SCOPE,AUTHORIZED_OR_OTHER,AUTHORIZED_OR_OTHER,ACTIVE_OR_BOUNDARY,DENY,anon has no table grants,supabase/tests/17_actor_action_resource_matrix.sql#RLS-T04-ANON-DENY,Direct database decision; role labels never come from user metadata
RLS-T04-ANON-DENY,anon,anonymous_session,public.academic_levels,UPDATE,synthetic_resource_row,SELF_OR_POLICY_SCOPE,AUTHORIZED_OR_OTHER,AUTHORIZED_OR_OTHER,ACTIVE_OR_BOUNDARY,DENY,anon has no table grants,supabase/tests/17_actor_action_resource_matrix.sql#RLS-T04-ANON-DENY,Direct database decision; role labels never come from user metadata
RLS-T04-ANON-DENY,anon,anonymous_session,public.academic_levels,DELETE,synthetic_resource_row,SELF_OR_POLICY_SCOPE,AUTHORIZED_OR_OTHER,AUTHORIZED_OR_OTHER,ACTIVE_OR_BOUNDARY,DENY,anon has no table grants,supabase/tests/17_actor_action_resource_matrix.sql#RLS-T04-ANON-DENY,Direct database decision; role labels never come from user metadata
RLS-T04-POLICY-META,student,synthetic_student_a,public.academic_levels,READ,synthetic_resource_row,SELF_OR_POLICY_SCOPE,AUTHORIZED_OR_OTHER,AUTHORIZED_OR_OTHER,ACTIVE_OR_BOUNDARY,ALLOW,authenticated caller and active catalog row,supabase/tests/17_actor_action_resource_matrix.sql#RLS-T04-POLICY-META,Direct database decision; role labels never come from user metadata
RLS-T04-GRANT-META,student,synthetic_student_a,public.academic_levels,CREATE,synthetic_resource_row,SELF_OR_POLICY_SCOPE,AUTHORIZED_OR_OTHER,AUTHORIZED_OR_OTHER,ACTIVE_OR_BOUNDARY,DENY,authenticated has no INSERT grant,supabase/tests/17_actor_action_resource_matrix.sql#RLS-T04-GRANT-META,Direct database decision; role labels never come from user metadata
RLS-T04-GRANT-META,student,synthetic_student_a,public.academic_levels,UPDATE,synthetic_resource_row,SELF_OR_POLICY_SCOPE,AUTHORIZED_OR_OTHER,AUTHORIZED_OR_OTHER,ACTIVE_OR_BOUNDARY,DENY,authenticated has no reviewed UPDATE grant,supabase/tests/17_actor_action_resource_matrix.sql#RLS-T04-GRANT-META,Direct database decision; role labels never come from user metadata
RLS-T04-GRANT-META,student,synthetic_student_a,public.academic_levels,DELETE,synthetic_resource_row,SELF_OR_POLICY_SCOPE,AUTHORIZED_OR_OTHER,AUTHORIZED_OR_OTHER,ACTIVE_OR_BOUNDARY,DENY,authenticated has no DELETE grant,supabase/tests/17_actor_action_resource_matrix.sql#RLS-T04-GRANT-META,Direct database decision; role labels never come from user metadata
RLS-T04-POLICY-META,batch_leader,synthetic_batch_leader_assignment,public.academic_levels,READ,synthetic_resource_row,SELF_OR_POLICY_SCOPE,AUTHORIZED_OR_OTHER,AUTHORIZED_OR_OTHER,ACTIVE_OR_BOUNDARY,ALLOW,authenticated caller and active catalog row,supabase/tests/17_actor_action_resource_matrix.sql#RLS-T04-POLICY-META,Direct database decision; role labels never come from user metadata
RLS-T04-GRANT-META,batch_leader,synthetic_batch_leader_assignment,public.academic_levels,CREATE,synthetic_resource_row,SELF_OR_POLICY_SCOPE,AUTHORIZED_OR_OTHER,AUTHORIZED_OR_OTHER,ACTIVE_OR_BOUNDARY,DENY,authenticated has no INSERT grant,supabase/tests/17_actor_action_resource_matrix.sql#RLS-T04-GRANT-META,Direct database decision; role labels never come from user metadata
RLS-T04-GRANT-META,batch_leader,synthetic_batch_leader_assignment,public.academic_levels,UPDATE,synthetic_resource_row,SELF_OR_POLICY_SCOPE,AUTHORIZED_OR_OTHER,AUTHORIZED_OR_OTHER,ACTIVE_OR_BOUNDARY,DENY,authenticated has no reviewed UPDATE grant,supabase/tests/17_actor_action_resource_matrix.sql#RLS-T04-GRANT-META,Direct database decision; role labels never come from user metadata
